slug,district,name,party_name,party_abbr,vote
dailekh-1,Dailekh,Basana Thapa,Nepali Congress,NC,12372
dailekh-1,Dailekh,Ravindra Raj Sharma,CPN-UML,CPN-UML,11796
dailekh-1,Dailekh,Nanda Kishor Basnet,Rastriya Swatantra Party,RSP,8151
doti-1,Doti,Bharat Bahadur Khadka,Nepali Congress,NC,14897
doti-1,Doti,Deepak Bahadur Dhami,CPN-UML,CPN-UML,14110
doti-1,Doti,Narendra Bahadur Khadka,Rastriya Swatantra Party,RSP,13270
humla-1,Humla,Jaya Pati Rokaya,Nepali Congress,NC,8797
humla-1,Humla,Dipendra Rokaya,Nepal Communist Party,NCP,7243
humla-1,Humla,Dal Fadera,CPN-UML,CPN-UML,4331
ilam-1,Ilam,Nishkal Rai,Nepali Congress,NC,14543
ilam-1,Ilam,Binod Nembang Limbu,Shram Sanskriti Party,SSP,13632
ilam-1,Ilam,Kaji Man Kagate,CPN-UML,CPN-UML,11966
jajarkot-1,Jajarkot,Khadak Bahadur Budha,Nepali Congress,NC,20142
jajarkot-1,Jajarkot,Shakti Bahadur Basnet,Nepal Communist Party,NCP,17407
jajarkot-1,Jajarkot,Dambar Bahadur Singh,CPN-UML,CPN-UML,16883
kapilvastu-3,Kapilvastu,Abhishek Pratap Shah,Nepali Congress,NC,23535
kapilvastu-3,Kapilvastu,Prakash Rajouriya,Rastriya Swatantra Party,RSP,18890
kapilvastu-3,Kapilvastu,Birendra Kumar Kanodiya,CPN-UML,CPN-UML,14763
manang-1,Manang,Tek Bahadur Gurung,Nepali Congress,NC,2415
manang-1,Manang,Yashoda Gurung (Subedi),Nepal Communist Party,NCP,454
manang-1,Manang,Ram Bahadur Ghale,Nepal Sangyhia Samajbadi Party,Ekal Chunab Chinha,9
mugu-1,Mugu,Khadga Shahi,Nepali Congress,NC,7914
mugu-1,Mugu,Purna Bahadur Rokaya,CPN-UML,CPN-UML,6718
mugu-1,Mugu,Chandra Bahadur Shahi,Nepal Communist Party,NCP,5558
mustang-1,Mustang,Yogesh Gauchan Thakali,Nepali Congress,NC,3307
mustang-1,Mustang,Indra Dhara Dadu Bista,CPN-UML,CPN-UML,1806
mustang-1,Mustang,Adhitya Chandra Thakali,Rastriya Swatantra Party,RSP,759
palpa-1,Palpa,Sandip Rana,Nepali Congress,NC,18336
palpa-1,Palpa,Narayan Parasad Acharya,CPN-UML,CPN-UML,16819
palpa-1,Palpa,Bimal Pant,Rastriya Swatantra Party,RSP,14333
panchthar-1,Panchthar,Narendra Kumar Kerung,Nepali Congress,NC,17233
panchthar-1,Panchthar,Hasta Raj Sherma,Shram Sanskriti Party,SSP,14734
panchthar-1,Panchthar,Aindra Sundar Nembang,CPN-UML,CPN-UML,14534
rasuwa-1,Rasuwa,Mohan Acharya,Nepali Congress,NC,10656
rasuwa-1,Rasuwa,Basant Bhatta,Rastriya Swatantra Party,RSP,5571
rasuwa-1,Rasuwa,Prem Bahadur Tamang,CPN-UML,CPN-UML,4688
rautahat-2,Rautahat,Md. Firdosh Alam,Nepali Congress,NC,29528
rautahat-2,Rautahat,Kiran Kumar Sah,Nepal Communist Party,NCP,18442
rautahat-2,Rautahat,Shekh Sagir,Rastriya Swatantra Party,RSP,9325
solukhumbu-1,Solukhumbu,Prakash Singh Karki,Nepali Congress,NC,13166
solukhumbu-1,Solukhumbu,Ashim Rai,Nepal Communist Party,NCP,9414
solukhumbu-1,Solukhumbu,Kalpana Rai,CPN-UML,CPN-UML,8228
surkhet-1,Surkhet,Bishnu Bahadur Khadka,Nepali Congress,NC,26897
surkhet-1,Surkhet,Dhruva Kumar Shahi,CPN-UML,CPN-UML,18890
surkhet-1,Surkhet,Tek Bahadur Singh Thakuri,Rastriya Swatantra Party,RSP,14729
terhathum-1,Terhathum,Santosh Subba,Nepali Congress,NC,11561
terhathum-1,Terhathum,Bhanu Bhakta Dhakal,CPN-UML,CPN-UML,10682
terhathum-1,Terhathum,Surendra Karki,Rastriya Swatantra Party,RSP,7737
achham-2,Achham,Yagya Bahadur Bogati,CPN-UML,CPN-UML,9518
achham-2,Achham,Pushpa Bahadur Shah,Nepali Congress,NC,9046
achham-2,Achham,Bal Bahadur Kunwar,Nepal Communist Party,NCP,6493
bajhang-1,Bajhang,Ain Bahadur Mahar,CPN-UML,CPN-UML,18543
bajhang-1,Bajhang,Prakash Rasaili Snehi,Nepali Congress,NC,16304
bajhang-1,Bajhang,Min Bahadur Kunwar,Nepal Communist Party,NCP,9757
banke-2,Banke,Mohammad Ishtiyak Rai,CPN-UML,CPN-UML,24628
banke-2,Banke,Bivek Kumar Shrestha,Rastriya Swatantra Party,RSP,18682
banke-2,Banke,Sudhansu Koirala,Nepali Congress,NC,17596
dailekh-2,Dailekh,Laxmi Prasad Pokharel,CPN-UML,CPN-UML,13889
dailekh-2,Dailekh,Dikpal Kumar Shahi,Nepali Congress,NC,9552
dailekh-2,Dailekh,Bakhat Bahadur Shahi,Rastriya Swatantra Party,RSP,6797
darchula-1,Darchula,Ganesh Singh Thagunna,CPN-UML,CPN-UML,18891
darchula-1,Darchula,Dharmanand Joshi,Nepali Congress,NC,15836
darchula-1,Darchula,Rajesh Singh Samant (Saud),Rastriya Swatantra Party,RSP,8936
dhankuta-1,Dhankuta,Rajendra Kumar Rai,CPN-UML,CPN-UML,18132
dhankuta-1,Dhankuta,Dinesh Rai,Nepali Congress,NC,14257
dhankuta-1,Dhankuta,San Bahadur Rai,Shram Sanskriti Party,SSP,11932
ilam-2,Ilam,Suhang Nembang,CPN-UML,CPN-UML,22426
ilam-2,Ilam,Bhesraj Acharya,Nepali Congress,NC,14650
ilam-2,Ilam,Sudeep Rai,Shram Sanskriti Party,SSP,14400
sankhuwasabha-1,Sankhuwasabha,Arjun Kumar Karki,CPN-UML,CPN-UML,15636
sankhuwasabha-1,Sankhuwasabha,Mingma Sherpa,Rastriya Swatantra Party,RSP,15000
sankhuwasabha-1,Sankhuwasabha,Dipen Kumar Shrestha,Nepali Congress,NC,13271
taplejung-1,Taplejung,Khitiz Thebe,CPN-UML,CPN-UML,13962
taplejung-1,Taplejung,Gajendra Prasad Tumyang Limbu,Nepali Congress,NC,11711
taplejung-1,Taplejung,Khel Prasad Buda Chhetri,Nepal Communist Party,NCP,6775
dhanusha-1,Dhanusha,Matrika Prasad Yadav,Nepal Communist Party,NCP,10428
dhanusha-1,Dhanusha,Ram Paltan Sah,Nepali Congress,NC,9485
dhanusha-1,Dhanusha,Ramchandra Mandal,CPN-UML,CPN-UML,9220
dolpa-1,Dolpa,Dhan Bahadur Budha,Nepal Communist Party,NCP,6802
dolpa-1,Dolpa,Lank Bahadur Rokaya,CPN-UML,CPN-UML,5396
dolpa-1,Dolpa,Karna Bahadur Budha,Nepali Congress,NC,2947
kalikot-1,Kalikot,Mahendra Bahadur Shahi,Nepal Communist Party,NCP,11734
kalikot-1,Kalikot,Shree Nagindra Shahi,CPN-UML,CPN-UML,10647
kalikot-1,Kalikot,Harsh Bahadur Bam,Nepali Congress,NC,7450
rolpa-1,Rolpa,Barshman Pun,Nepal Communist Party,NCP,27460
rolpa-1,Rolpa,Sudan Kumar Oli,Nepali Congress,NC,12008
rolpa-1,Rolpa,Balram Thapa,Rastriya Swatantra Party,RSP,10894
rukum-east-1,Rukum-East,Pushpa Kamal Dahal,Nepal Communist Party,NCP,10240
rukum-east-1,Rukum-East,Lilamani Gautam,CPN-UML,CPN-UML,3462
rukum-east-1,Rukum-East,Kusum Devi Thapa,Nepali Congress,NC,3081
rukum-west-1,Rukum-West,Gopal Sharma,Nepal Communist Party,NCP,21609
rukum-west-1,Rukum-West,Raju KC,Nepali Congress,NC,16661
rukum-west-1,Rukum-West,Janardan Sharma,Other,Other,14346
salyan-1,Salyan,Ramesh Kumar Malla,Nepal Communist Party,NCP,23189
salyan-1,Salyan,Lalit Kumar Chanda,Rastriya Swatantra Party,RSP,20904
salyan-1,Salyan,Kesh Bahadur Bista,Nepali Congress,NC,17558
sindhupalchok-2,Sindhupalchok,Yubraj Dulal,Nepal Communist Party,NCP,21699
sindhupalchok-2,Sindhupalchok,Bansalal Tamang,Nepali Congress,NC,19146
sindhupalchok-2,Sindhupalchok,Sher Bahadur Tamang,CPN-UML,CPN-UML,15926
bhojpur-1,Bhojpur,Dhurbaraj Rai,Shram Sanskriti Party,SSP,16663
bhojpur-1,Bhojpur,Sherdhan Rai,CPN-UML,CPN-UML,14750
bhojpur-1,Bhojpur,Balkrishna Thapa,Nepali Congress,NC,8670
khotang-1,Khotang,Aren Rai,Shram Sanskriti Party,SSP,16612
khotang-1,Khotang,Dev Bikram Rai,CPN-UML,CPN-UML,12714
khotang-1,Khotang,Bir Kaji Rai,Nepali Congress,NC,11957
sunsari-1,Sunsari,Harka Raj Rai,Shram Sanskriti Party,SSP,35741
sunsari-1,Sunsari,Goma Tamang,Rastriya Swatantra Party,RSP,27249
sunsari-1,Sunsari,Tika Ram Limbu,CPN-UML,CPN-UML,6463
jumla-1,Jumla,Gyan Bahadur Shahi,Rastriya Prajatantra Party,RPP,14816
jumla-1,Jumla,Naresh Bhandari,Nepal Communist Party,NCP,11635
jumla-1,Jumla,Dip Bahadur Shahi,Nepali Congress,NC,7143
myagdi-1,Myagdi,Mahabir Pun,Independent,IND,22850
myagdi-1,Myagdi,Harikrishna Shrestha,CPN-UML,CPN-UML,7919
myagdi-1,Myagdi,Karna Bahadur Bhandar,Nepali Congress,NC,
